FABRICANTE;FABRICANTE_GN
S/A;S/A
AGUILA ROJA;AGUILA ROJA
CAFE QUINDIO;CAFE QUINDIO
CAFE Y CO;CAFE Y CO
CAFESAL;CAFESAL
CASA LUKER;CASA LUKER
COLCAFE;COLCAFE
FRONTERA;FRONTERA
GALAVIS;GALAVIS
GIRONES;GIRONES
IND CAFETERA DE NARI O;IND CAFETERA DE NARI O
NESTLE;NESTLE
OTROS FABRICANTES;OTROS FABRICANTES
PL;PL
PROCAFECOL;PROCAFECOL
SUCESORES DE CESAR VASQUEZ;SUCESORES DE CESAR VASQUEZ
TOSCAFE;TOSCAFE
DORIA;DORIA
HARINERA DEL VALLE;HARINERA DEL VALLE
QUALA;QUALA
TOPCO;TOPCO
ALICORP;ALICORP
BARILLA;BARILLA
CAPELLINI DUENAS;CAPELLINI DUENAS
COLOMBINA;COLOMBINA
COMI;COMI
CORTICELLA MOLINI E PASTIFICI;CORTICELLA MOLINI E PASTIFICI
F LLI DE CECCO;F LLI DE CECCO
FIRENZE;FIRENZE
GAVASSA;GAVASSA
GIOSES;GIOSES
HARINERA DE OCCIDENTE;HARINERA DE OCCIDENTE
KRAFT;KRAFT
LISTA ALIMENTICIA;LISTA ALIMENTICIA
MOLINOS BARRANQUILLA;MOLINOS BARRANQUILLA
MOLINOS DEL ATLANTICO;MOLINOS DEL ATLANTICO
NAPOLI;NAPOLI
NENA LELA;NENA LELA
NURIA;NURIA
INCOLCAR;INCOLCAR
MACEDONIA;MACEDONIA
GENERAL MILLS;GENERAL MILLS
NEGOCIO CARNICO;NEGOCIO CARNICO
COMESTIBLES DAN;COMESTIBLES DAN
FRICAR;FRICAR
INDUSTRIAS LA CORUNA;INDUSTRIAS LA CORUNA
DIPSA;DIPSA
KELLOGG S;KELLOGG S
NAL DE CHOCOLATES;NAL DE CHOCOLATES
QUAKER;QUAKER
UNILEVER;UNILEVER
ARCOR;ARCOR
CIA NAL CHOCOLATES;CIA NAL CHOCOLATES
EUROCOL;EUROCOL
FERRERO;FERRERO
GRECO;GRECO
HERSHEY S;HERSHEY S
IND SUPER DE ALIMENTOS;IND SUPER DE ALIMENTOS
ITALO;ITALO
LINDT;LINDT
LOK;LOK
MARS;MARS
MONDELEZ INTL;MONDELEZ INTL
TRIUNFO;TRIUNFO
WAWEL;WAWEL
MARIA ELISA;MARIA ELISA
NAYARITH;NAYARITH
GREZON;GREZON
ABURRA;ABURRA
COMESTIBLES RICOS;COMESTIBLES RICOS
DONA BETTY;DONA BETTY
FRITO LAY;FRITO LAY
MANITOBA;MANITOBA
PRODS MANIYUN;PRODS MANIYUN
TERRAFERTIL;TERRAFERTIL
SUPER DE ALIMENTOS;SUPER DE ALIMENTOS
MASTERFOODS;MASTERFOODS
ALIMENTOS POLAR;ALIMENTOS POLAR
NABISCO;NABISCO
QIKELY AVENA;QIKELY AVENA
SIGNA GRAIN;SIGNA GRAIN
ALFA TRADING;ALFA TRADING
EL FORTIN;EL FORTIN
FRIGORIFICO DE LA COSTA;FRIGORIFICO DE LA COSTA
INDS LA CORUNA;INDS LA CORUNA
DEL MONTE;DEL MONTE
LEVAPAN;LEVAPAN
PANAMERICANA DE ALIMENTOS;PANAMERICANA DE ALIMENTOS
SETAS COLOMBIANAS;SETAS COLOMBIANAS
CHOCOLATE COLOSAL;CHOCOLATE COLOSAL
FAB DE CHOCOLATES ANDINO;FAB DE CHOCOLATES ANDINO
PRODS MARGARITA;PRODS MARGARITA
SAN JOSE;SAN JOSE
TOLIMAX;TOLIMAX
VITACHOCOLATE;VITACHOCOLATE
FABRICANTES SUPERMERCADOS;FABRICANTES SUPERMERCADOS
MEALS;MEALS
MIMO S;MIMO S
POPSY;POPSY
RICO HELADO;RICO HELADO
ALIMENTICIOS CONGELADOS MAJA;ALIMENTICIOS CONGELADOS MAJA
BALKAB;BALKAB
FILLO DOUGH;FILLO DOUGH
CONGECOL;CONGECOL
DON MAIZ;DON MAIZ
K LISTO;K LISTO
M E;M E
PUEBLO VIEJO;PUEBLO VIEJO
VENTURA FOODS;VENTURA FOODS
DOLOMITI;DOLOMITI
PASTIFICIO;PASTIFICIO
MC CAIN;MC CAIN
PIZZAS BIMBO;PIZZAS BIMBO
OTROS FABRICANTESPIZZAS BIMBO;OTROS FABRICANTESPIZZAS BIMBO
PIZZAS SIN BIMBO;PIZZAS SIN BIMBO
MC CAINPIZZAS SIN BIMBO;MC CAINPIZZAS SIN BIMBO
OTROS FABRICANTESPIZZAS SIN BIMBO;OTROS FABRICANTESPIZZAS SIN BIMBO
PASTIFICIOPIZZAS SIN BIMBO;PASTIFICIOPIZZAS SIN BIMBO
PLPIZZAS SIN BIMBO;PLPIZZAS SIN BIMBO
NEGOCIO CARNICOPIZZAS SIN BIMBO;NEGOCIO CARNICOPIZZAS SIN BIMBO
AVESCO KLIK;AVESCO KLIK
CALYPSO;CALYPSO
DISTRAVES;DISTRAVES
PIMPOLLO;PIMPOLLO
QUICK TASTY;QUICK TASTY
ALIMEN CARNICOS;ALIMEN CARNICOS
ZENU;ZENU
